Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
25/08/2019,Wolves,Burnley,1,1,1,0,1,0,6,17,13,2,4,9,11,4,3,0,2,0,0,1.85,3.4,4.5,1.83,3.5,4.6,1.85,3.4,4.7
31/08/2019,Southampton,Man United,1,1,1,0,1,0,22,10,21,2,8,17,7,2,3,1,2,1,0,3.8,3.3,2.05,3.7,3.4,2.05,3.65,3.35,2.1
31/08/2019,Chelsea,Sheffield United,2,2,1,2,0,2,34,13,8,5,2,6,11,3,4,0,1,0,0,1.36,4.75,9.0,1.34,5.0,9.5,1.35,5.3,8.0
31/08/2019,Crystal Palace,Aston Villa,1,0,2,0,0,1,16,22,10,5,2,15,16,13,2,2,4,0,1,2.15,3.3,3.5,2.2,3.3,3.4,2.2,3.4,3.35
31/08/2019,Leicester,Bournemouth,3,1,2,2,1,2,28,13,8,5,2,9,11,4,5,1,3,0,0,1.7,4.0,4.75,1.7,4.0,4.75,1.73,4.05,4.5
31/08/2019,Man City,Brighton,4,0,2,2,0,2,14,15,6,6,2,10,6,8,1,1,1,0,0,1.08,10.0,26.0,1.07,11.5,31.0,1.08,10.5,29.0
31/08/2019,Newcastle,Watford,1,1,1,1,1,1,10,13,13,5,3,5,11,6,5,2,3,0,0,2.5,3.25,2.87,2.5,3.3,2.85,2.6,3.25,2.8
31/08/2019,West Ham,Norwich,2,0,2,1,0,2,30,18,8,8,3,16,10,8,2,2,1,0,0,1.85,3.9,3.9,1.87,3.8,4.0,1.87,3.95,3.75
31/08/2019,Burnley,Liverpool,0,3,0,0,2,0,5,7,15,2,7,10,16,6,4,0,0,0,0,9.5,5.5,1.3,9.75,5.5,1.3,8.4,5.5,1.33
1/9/2019,Everton,Wolves,3,2,2,2,1,2,3,15,8,6,5,12,12,7,7,1,4,0,1,2.2,3.25,3.5,2.15,3.25,3.6,2.1,3.25,3.65
1/9/2019,Arsenal,Tottenham,2,2,1,1,2,0,20,26,13,8,9,13,19,11,6,3,5,0,0,2.37,3.6,2.8,2.4,3.6,2.8,2.35,3.6,2.85
14/09/2019,Liverpool,Newcastle,3,1,2,2,1,2,1,21,8,9,1,5,4,10,1,0,0,0,0,1.14,8.5,17.0,1.14,8.25,18.5,1.15,8.0,17.5
14/09/2019,Brighton,Burnley,1,1,1,0,0,1,24,14,7,5,1,13,7,3,6,0,2,0,0,2.15,3.3,3.5,2.15,3.3,3.5,2.1,3.35,3.55
14/09/2019,Man United,Leicester,1,0,2,1,0,2,20,10,9,5,3,14,14,3,9,1,2,0,0,1.95,3.5,4.0,1.87,3.7,4.1,1.8,3.6,4.5
14/09/2019,Sheffield United,Southampton,0,1,0,0,0,1,18,17,11,4,7,10,7,12,6,1,1,1,0,2.45,3.2,3.0,2.45,3.1,3.1,2.45,3.2,3.05
14/09/2019,Tottenham,Crystal Palace,4,0,2,4,0,2,6,13,11,5,6,19,11,4,3,4,2,0,0,1.36,5.25,8.0,1.36,5.0,8.5,1.45,4.6,6.8
14/09/2019,Wolves,Chelsea,2,5,0,0,3,0,10,11,15,4,6,8,11,7,5,1,2,0,0,2.9,3.3,2.5,2.95,3.4,2.4,2.95,3.35,2.4
14/09/2019,Norwich,Man City,3,2,2,2,1,2,16,7,25,3,8,8,7,3,16,3,1,0,0,15.0,9.0,1.14,14.5,8.5,1.16,15.0,8.5,1.15
15/09/2019,Bournemouth,Everton,3,1,2,1,1,1,30,13,14,6,5,5,14,7,7,0,4,0,0,2.9,3.5,2.4,3.0,3.5,2.3,2.95,3.5,2.3
15/09/2019,Watford,Arsenal,2,2,1,0,2,0,3,31,10,7,4,14,4,7,1,3,3,0,0,3.6,3.6,2.0,3.8,3.8,1.91,3.9,3.7,1.9
16/09/2019,Aston Villa,West Ham,0,0,1,0,0,1,22,10,13,5,1,13,12,2,4,2,1,0,1,2.62,3.5,2.6,2.6,3.4,2.7,2.6,3.6,2.55
20/09/2019,Southampton,Bournemouth,1,3,0,0,2,0,5,25,6,6,3,8,9,4,5,1,3,0,0,2.05,3.6,3.5,2.0,3.7,3.6,2.1,3.6,3.4
21/09/2019,Leicester,Tottenham,2,1,2,0,1,0,30,16,11,7,4,16,13,8,2,1,2,0,0,2.87,3.5,2.37,2.95,3.4,2.4,2.85,3.45,2.4
21/09/2019,Burnley,Norwich,2,0,2,2,0,2,8,13,11,6,2,11,10,7,3,0,1,0,0,2.0,3.8,3.5,1.95,3.8,3.6,2.0,3.6,3.6
21/09/2019,Everton,Sheffield United,0,2,0,0,1,0,35,16,2,3,1,9,9,12,3,1,3,0,0,1.61,3.75,6.0,1.65,3.8,5.5,1.67,3.75,5.3
21/09/2019,Man City,Watford,8,0,2,5,0,2,22,28,5,11,4,5,9,5,4,2,2,0,0,1.1,11.0,21.0,1.11,10.5,17.5,1.12,9.0,20.0
21/09/2019,Newcastle,Brighton,0,0,1,0,0,1,20,11,16,4,3,12,8,5,3,2,1,0,0,2.5,3.2,3.0,2.45,3.2,3.0,2.5,3.1,3.05
22/09/2019,Crystal Palace,Wolves,1,1,1,0,0,1,34,13,14,4,4,7,10,6,7,2,1,0,1,2.62,3.1,2.87,2.65,3.0,2.95,2.6,3.1,2.9
22/09/2019,West Ham,Man United,2,0,2,1,0,2,3,8,9,6,3,8,9,3,7,2,2,0,0,3.1,3.6,2.2,3.25,3.6,2.15,3.4,3.5,2.1
22/09/2019,Arsenal,Aston Villa,3,2,2,0,1,0,14,21,14,6,9,13,15,9,4,5,1,1,0,1.4,4.75,8.0,1.4,5.0,7.25,1.4,4.8,7.5
22/09/2019,Chelsea,Liverpool,1,2,0,0,2,0,24,13,6,2,3,8,13,6,4,3,3,0,0,3.5,3.75,2.0,3.6,3.7,2.0,3.4,3.5,2.1
28/09/2019,Sheffield United,Liverpool,0,1,0,0,0,1,3,12,16,2,4,8,4,6,5,1,1,0,0,9.0,5.25,1.33,9.5,5.25,1.33,8.1,5.1,1.36
28/09/2019,Aston Villa,Burnley,2,2,1,1,0,2,18,16,10,3,3,10,16,7,3,1,4,0,0,2.3,3.4,3.1,2.35,3.3,3.1,2.35,3.35,3.0
28/09/2019,Bournemouth,West Ham,2,2,1,1,1,1,34,13,17,5,6,7,8,6,6,3,1,0,0,2.5,3.5,2.75,2.5,3.6,2.7,2.4,3.6,2.75
28/09/2019,Chelsea,Brighton,2,0,2,0,0,1,5,24,8,10,1,5,13,5,2,2,3,0,0,1.4,4.75,8.0,1.42,4.6,7.75,1.45,4.65,6.8
28/09/2019,Crystal Palace,Norwich,2,0,2,1,0,2,14,15,10,3,3,14,10,5,5,3,1,0,0,1.9,3.75,3.75,1.95,3.6,3.8,1.9,3.75,3.85
28/09/2019,Tottenham,Southampton,2,1,2,2,1,2,10,9,14,4,6,5,16,6,6,0,2,1,0,1.4,4.75,8.0,1.42,4.6,7.5,1.45,4.7,6.7
28/09/2019,Wolves,Watford,2,0,2,1,0,2,30,6,14,2,5,5,6,1,6,0,1,0,0,1.85,3.4,4.5,1.87,3.5,4.33,1.87,3.4,4.5
28/09/2019,Everton,Man City,1,3,0,1,1,1,24,12,20,8,9,4,8,5,2,2,2,0,0,10.0,5.5,1.3,9.75,6.0,1.28,9.6,5.5,1.3
29/09/2019,Leicester,Newcastle,5,0,2,1,0,2,6,13,3,5,0,12,9,9,0,1,1,0,1,1.5,4.0,7.5,1.53,4.0,6.75,1.53,4.0,6.7
30/09/2019,Man United,Arsenal,1,1,1,1,0,2,16,16,10,4,5,18,13,8,7,4,2,0,0,2.37,3.5,2.9,2.35,3.4,3.0,2.35,3.6,2.9
5/10/2019,Brighton,Tottenham,3,0,2,2,0,2,14,17,8,6,3,11,7,4,4,2,1,0,0,3.9,3.6,1.9,3.8,3.6,1.95,3.8,3.6,1.95
5/10/2019,Burnley,Everton,1,0,2,0,0,1,10,9,11,3,2,5,12,7,9,2,1,0,1,2.87,3.3,2.5,2.85,3.25,2.55,2.9,3.25,2.5
5/10/2019,Liverpool,Leicester,2,1,2,1,0,2,5,18,2,8,1,9,17,4,6,1,4,0,0,1.44,4.75,7.0,1.45,4.6,7.0,1.47,4.6,6.5
5/10/2019,Norwich,Aston Villa,1,5,0,0,2,0,0,21,22,5,12,14,17,10,6,1,3,0,0,2.37,3.6,2.8,2.3,3.6,2.95,2.35,3.65,2.8
5/10/2019,Watford,Sheffield United,0,0,1,0,0,1,1,8,9,2,3,7,6,7,7,0,2,0,0,2.05,3.4,3.6,2.2,3.3,3.4,2.1,3.4,3.5
5/10/2019,West Ham,Crystal Palace,1,2,0,0,0,1,24,9,7,4,4,11,7,2,2,3,2,0,0,1.95,3.6,3.8,2.0,3.5,3.75,2.0,3.55,3.7
6/10/2019,Arsenal,Bournemouth,1,0,2,1,0,2,20,12,10,2,2,12,6,14,5,1,2,0,0,1.44,4.75,7.0,1.42,5.0,6.75,1.46,5.0,6.0
6/10/2019,Man City,Wolves,0,2,0,0,0,1,6,18,7,2,2,11,14,9,1,5,2,0,0,1.12,9.0,21.0,1.13,9.0,19.5,1.13,9.0,18.0
6/10/2019,Southampton,Chelsea,1,4,0,1,3,0,30,10,13,3,7,8,15,3,4,0,1,0,0,4.0,3.8,1.85,4.0,3.75,1.87,3.95,3.8,1.87
6/10/2019,Newcastle,Man United,1,0,2,0,0,1,22,12,12,2,3,12,10,4,6,3,3,0,0,4.5,3.5,1.85,4.5,3.4,1.87,4.35,3.4,1.9
19/10/2019,Everton,West Ham,2,0,2,1,0,2,30,19,8,10,4,15,15,11,2,2,2,0,0,1.95,3.75,3.75,1.95,3.6,3.8,1.97,3.65,3.7
19/10/2019,Aston Villa,Brighton,2,1,2,1,1,1,8,24,20,8,5,9,17,7,5,1,2,0,1,2.35,3.4,3.0,2.4,3.3,3.0,2.35,3.4,3.0
19/10/2019,Bournemouth,Norwich,0,0,1,0,0,1,18,11,10,2,1,8,11,6,7,1,3,0,0,1.72,4.2,4.2,1.72,4.2,4.33,1.75,4.0,4.3
19/10/2019,Chelsea,Newcastle,1,0,2,0,0,1,1,16,5,8,0,9,12,11,0,2,1,0,0,1.3,5.5,10.0,1.3,5.5,10.0,1.3,5.5,9.6
19/10/2019,Leicester,Burnley,2,1,2,1,1,1,14,19,13,3,4,4,10,9,4,0,3,0,0,1.57,4.0,6.0,1.55,4.0,6.5,1.57,4.05,6.1
19/10/2019,Tottenham,Watford,1,1,1,0,1,0,5,12,7,2,2,5,9,11,2,4,3,0,0,1.4,5.0,7.5,1.42,4.75,7.25,1.45,4.5,7.0
19/10/2019,Wolves,Southampton,1,1,1,0,0,1,28,4,14,1,5,10,17,1,3,3,2,0,0,1.8,3.6,4.5,1.83,3.5,4.5,1.85,3.5,4.4
19/10/2019,Crystal Palace,Man City,0,2,0,0,2,0,3,7,21,2,10,8,10,1,8,1,1,0,0,12.0,7.0,1.22,12.5,6.5,1.22,10.0,6.5,1.25
20/10/2019,Man United,Liverpool,1,1,1,1,0,2,20,7,10,2,4,6,14,3,1,0,1,0,0,5.25,3.8,1.65,5.0,4.0,1.67,4.8,3.95,1.7
21/10/2019,Sheffield United,Arsenal,1,0,2,1,0,2,22,8,9,2,3,10,12,7,12,4,4,0,0,3.9,3.75,1.9,3.8,3.75,1.91,3.9,3.75,1.9
25/10/2019,Southampton,Leicester,0,9,0,0,5,0,1,6,25,3,15,3,12,2,7,0,0,1,0,3.1,3.4,2.3,3.25,3.4,2.3,3.15,3.3,2.3
26/10/2019,Man City,Aston Villa,3,0,2,0,0,1,10,25,11,9,5,10,5,13,7,1,1,1,0,1.08,11.0,26.0,1.09,11.0,23.0,1.09,11.0,26.0
26/10/2019,Brighton,Everton,3,2,2,1,1,1,0,8,10,4,6,12,12,0,5,2,1,0,0,2.9,3.25,2.5,2.85,3.3,2.55,2.85,3.25,2.55
26/10/2019,Watford,Bournemouth,0,0,1,0,0,1,22,7,15,3,5,14,8,5,10,5,3,0,0,2.15,3.6,3.25,2.2,3.5,3.2,2.2,3.55,3.25
26/10/2019,West Ham,Sheffield United,1,1,1,1,0,2,8,12,10,4,4,7,10,10,4,2,2,0,0,2.1,3.5,3.5,2.05,3.5,3.6,2.1,3.45,3.6
26/10/2019,Burnley,Chelsea,2,4,0,0,2,0,24,13,16,5,7,7,8,5,6,3,2,0,0,4.5,4.0,1.72,4.5,3.9,1.75,4.5,3.95,1.73
27/10/2019,Newcastle,Wolves,1,1,1,1,0,2,16,13,13,2,5,8,15,3,6,2,2,1,0,3.0,3.1,2.55,2.9,3.1,2.6,3.0,3.0,2.55
27/10/2019,Arsenal,Crystal Palace,2,2,1,2,1,2,20,15,10,6,4,18,9,12,5,2,0,0,0,1.45,4.75,6.5,1.45,4.75,6.5,1.5,4.6,6.1
27/10/2019,Liverpool,Tottenham,2,1,2,0,1,0,3,21,11,13,4,9,11,8,3,3,3,0,0,1.5,4.33,6.5,1.5,4.5,6.25,1.55,4.4,5.8
27/10/2019,Norwich,Man United,1,3,0,0,2,0,34,10,21,3,11,13,10,1,10,2,2,0,0,4.33,4.0,1.75,4.33,4.0,1.75,4.25,3.85,1.8
2/11/2019,Bournemouth,Man United,1,0,2,1,0,2,5,12,15,6,4,14,12,4,10,4,3,0,0,3.25,3.6,2.15,3.25,3.6,2.15,3.3,3.5,2.15
2/11/2019,Arsenal,Wolves,1,1,1,1,0,2,24,10,25,4,8,6,15,8,9,0,2,0,0,1.75,3.75,4.75,1.78,3.7,4.6,1.77,3.8,4.4
2/11/2019,Aston Villa,Liverpool,1,2,0,1,0,2,14,5,25,2,6,12,9,2,10,1,2,0,0,9.0,5.0,1.33,9.25,5.0,1.35,7.9,5.3,1.36
2/11/2019,Brighton,Norwich,2,0,2,0,0,1,16,21,7,5,0,11,8,8,3,0,1,0,0,1.72,4.2,4.33,1.72,4.2,4.33,1.7,4.05,4.6
2/11/2019,Man City,Southampton,2,1,2,0,1,0,18,26,3,4,3,11,10,17,0,3,1,0,0,1.07,13.0,23.0,1.09,11.0,23.0,1.08,11.0,27.0
2/11/2019,Sheffield United,Burnley,3,0,2,3,0,2,35,13,6,6,0,8,12,7,6,1,2,0,0,2.25,3.2,3.4,2.2,3.2,3.5,2.25,3.15,3.45
2/11/2019,West Ham,Newcastle,2,3,0,0,2,0,34,16,12,6,9,10,7,7,3,2,1,0,0,1.75,3.8,4.5,1.8,3.8,4.25,1.77,3.7,4.6
2/11/2019,Watford,Chelsea,1,2,0,0,1,0,3,12,16,3,10,8,5,1,6,4,2,0,0,5.0,4.33,1.61,4.75,4.2,1.65,4.9,4.2,1.65
3/11/2019,Crystal Palace,Leicester,0,2,0,0,0,1,30,12,14,3,5,15,16,5,6,2,2,0,0,3.5,3.4,2.1,3.5,3.3,2.15,3.45,3.4,2.15
3/11/2019,Everton,Tottenham,1,1,1,0,0,1,20,7,4,3,2,9,8,5,2,1,2,0,1,2.7,3.4,2.6,2.8,3.4,2.5,2.65,3.5,2.55
8/11/2019,Norwich,Watford,0,2,0,0,1,0,1,17,12,5,2,7,13,10,4,1,2,0,1,2.7,3.5,2.55,2.7,3.5,2.6,2.6,3.55,2.55
9/11/2019,Chelsea,Crystal Palace,2,0,2,0,0,1,22,23,3,5,1,9,17,7,0,3,2,0,0,1.33,5.0,10.0,1.34,5.25,8.75,1.33,5.3,8.9
9/11/2019,Burnley,West Ham,3,0,2,2,0,2,16,14,7,12,4,17,10,11,4,2,1,0,0,2.25,3.5,3.1,2.3,3.5,3.0,2.25,3.55,3.1
9/11/2019,Newcastle,Bournemouth,2,1,2,1,1,1,20,20,16,9,3,10,5,5,4,2,0,0,0,2.55,3.25,2.8,2.7,3.1,2.8,2.6,3.2,2.8
9/11/2019,Southampton,Everton,1,2,0,0,1,0,30,4,24,3,5,12,12,5,9,1,1,0,0,2.9,3.3,2.45,2.9,3.4,2.45,2.95,3.35,2.4
9/11/2019,Tottenham,Sheffield United,1,1,1,0,0,1,10,17,14,5,4,6,9,4,4,2,2,0,0,1.57,4.0,6.0,1.57,4.0,6.0,1.57,4.15,5.8
9/11/2019,Leicester,Arsenal,2,0,2,0,0,1,5,19,8,7,1,10,10,5,4,1,1,0,0,2.0,3.75,3.5,2.0,3.8,3.5,1.97,3.75,3.6
10/11/2019,Man United,Brighton,3,1,2,2,0,2,14,21,6,11,2,10,14,5,2,2,5,0,0,1.6,3.75,6.5,1.6,3.8,6.0,1.7,3.65,5.4
10/11/2019,Wolves,Aston Villa,2,1,2,1,0,2,3,17,13,5,4,17,8,6,3,4,3,0,0,1.9,3.5,4.2,1.85,3.6,4.33,1.87,3.6,4.15
10/11/2019,Liverpool,Man City,3,1,2,2,0,2,24,12,18,5,3,10,5,4,13,0,2,0,0,2.5,3.6,2.62,2.65,3.6,2.55,2.5,3.5,2.7
23/11/2019,West Ham,Tottenham,2,3,0,0,2,0,24,11,15,4,6,12,14,3,7,3,2,0,0,4.2,4.33,1.7,4.33,4.0,1.75,4.3,4.05,1.75
23/11/2019,Arsenal,Southampton,2,2,1,1,1,1,34,12,21,5,6,13,19,6,8,6,2,0,0,1.45,4.75,6.5,1.45,4.75,6.5,1.45,4.5,7.0
23/11/2019,Bournemouth,Wolves,1,2,0,0,2,0,35,9,17,2,7,10,12,5,9,2,1,1,0,2.75,3.3,2.6,2.85,3.3,2.5,2.8,3.25,2.6
23/11/2019,Brighton,Leicester,0,2,0,0,0,1,22,7,19,0,9,9,1,6,7,2,0,0,0,3.75,3.5,2.0,3.7,3.6,2.0,3.6,3.5,2.05
23/11/2019,Crystal Palace,Liverpool,1,2,0,0,0,1,16,16,12,6,4,8,7,9,8,0,1,0,0,7.5,4.75,1.4,7.5,4.5,1.44,7.2,4.4,1.45
23/11/2019,Everton,Norwich,0,2,0,0,0,1,3,18,13,7,5,12,11,7,7,3,5,0,0,1.36,5.1,8.0,1.4,5.0,7.25,1.4,4.8,7.5
23/11/2019,Watford,Burnley,0,3,0,0,0,1,30,15,11,4,5,14,13,7,5,0,3,0,0,2.3,3.4,3.1,2.3,3.3,3.2,2.35,3.25,3.15
23/11/2019,Man City,Chelsea,2,1,2,2,1,2,20,15,11,4,2,5,9,8,2,1,1,0,0,1.44,5.0,6.5,1.45,5.0,6.25,1.45,4.5,7.0
24/11/2019,Sheffield United,Man United,3,3,1,1,0,2,1,12,11,8,5,13,10,6,3,1,2,0,0,3.5,3.4,2.1,3.6,3.25,2.15,3.55,3.25,2.15
25/11/2019,Aston Villa,Newcastle,2,0,2,2,0,2,18,17,11,8,5,10,9,11,6,1,1,0,0,2.05,3.4,3.7,2.1,3.4,3.6,2.1,3.45,3.5
30/11/2019,Newcastle,Man City,2,2,1,1,1,1,5,6,24,3,9,4,6,1,10,1,2,0,0,13.0,8.0,1.16,15.0,7.25,1.18,14.0,7.1,1.2
30/11/2019,Burnley,Crystal Palace,0,2,0,0,1,0,28,15,7,4,2,13,10,5,6,2,0,0,0,2.25,3.25,3.3,2.3,3.2,3.3,2.3,3.2,3.25
30/11/2019,Chelsea,West Ham,0,1,0,0,0,1,14,19,5,6,4,0,16,9,3,0,3,0,0,1.28,6.0,9.0,1.28,6.0,9.75,1.3,5.8,8.8
30/11/2019,Liverpool,Brighton,2,1,2,2,0,2,20,15,12,7,5,3,10,4,5,0,0,1,0,1.18,7.0,15.0,1.2,7.0,13.0,1.22,6.5,13.0
30/11/2019,Tottenham,Bournemouth,3,2,2,1,0,2,18,15,20,5,6,10,12,4,8,0,2,0,0,1.36,5.5,7.5,1.4,5.0,7.5,1.4,5.1,7.5
30/11/2019,Southampton,Watford,2,1,2,0,1,0,24,11,6,6,3,6,10,6,7,1,0,0,0,2.1,3.4,3.5,2.1,3.5,3.5,2.1,3.45,3.5
1/12/2019,Norwich,Arsenal,2,2,1,2,1,2,30,15,16,8,7,8,10,7,12,2,1,0,0,4.0,4.33,1.75,4.1,4.25,1.75,4.05,4.15,1.77
1/12/2019,Wolves,Sheffield United,1,1,1,0,1,0,8,13,9,3,4,12,18,7,2,1,4,0,0,1.9,3.5,4.2,1.9,3.4,4.33,1.9,3.35,4.35
1/12/2019,Leicester,Everton,2,1,2,0,1,0,10,16,11,6,3,7,9,4,4,0,1,0,0,1.61,4.0,5.25,1.6,4.25,5.25,1.65,4.0,5.2
1/12/2019,Man United,Aston Villa,2,2,1,1,1,1,6,16,9,6,3,16,8,9,9,4,1,0,0,1.45,4.5,7.0,1.48,4.4,6.75,1.5,4.35,6.4
3/12/2019,Crystal Palace,Bournemouth,1,0,2,0,0,1,3,7,6,2,3,6,15,6,9,3,3,1,0,2.2,3.4,3.25,2.2,3.3,3.4,2.2,3.35,3.3
3/12/2019,Burnley,Man City,1,4,0,0,1,0,14,4,17,2,8,9,6,3,6,1,1,0,0,11.0,7.0,1.22,11.5,6.25,1.25,10.5,6.0,1.27
4/12/2019,Chelsea,Aston Villa,2,1,2,1,1,1,5,25,9,9,3,18,10,9,5,2,1,0,0,1.28,5.75,10.0,1.28,5.75,10.5,1.33,5.5,8.3
4/12/2019,Leicester,Watford,2,0,2,0,0,1,6,12,4,6,1,13,16,7,2,3,2,0,0,1.33,5.5,8.0,1.34,5.25,8.75,1.4,4.8,7.5
4/12/2019,Man United,Tottenham,2,1,2,1,1,1,30,12,8,7,5,9,9,4,3,0,1,0,0,2.75,3.4,2.55,2.65,3.5,2.6,2.65,3.3,2.65
4/12/2019,Southampton,Norwich,2,1,2,2,0,2,16,14,10,5,3,12,7,6,1,1,1,0,0,1.72,4.0,4.2,1.75,4.0,4.33,1.85,3.7,4.1
4/12/2019,Wolves,West Ham,2,0,2,1,0,2,1,13,6,7,3,8,9,5,4,1,2,0,0,1.75,3.7,4.75,1.75,3.8,4.6,1.77,3.7,4.6
4/12/2019,Liverpool,Everton,5,2,2,4,2,2,22,11,12,5,4,13,17,5,6,1,2,0,0,1.36,5.0,8.5,1.4,4.75,7.75,1.4,4.8,7.5
5/12/2019,Sheffield United,Newcastle,0,2,0,0,1,0,34,13,6,6,4,10,6,8,1,2,0,0,0,1.83,3.4,4.6,1.83,3.4,4.75,1.95,3.3,4.2
